"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)"
"_TruchetMask","Truchet Mask","Máscara de Truchet","TRURKET -MASK","トルシェット・マスク","트루셰 마스크","Truchet 遮罩"
"_TruchetMaskPan","Panning","Barrido","Bewegung","パン","패닝","平移"
"_TruchetMaskUV","UV","UV","UV","UV","UV","UV"
"_TruchetMaskChannel","Channel","Canal","Kanal","チャネル","채널","通道"
"_TruchetMaskInvert","Invert","Invertir","Umkehren","反転","반전","反转"
"_TruchetMaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバルマスク","글로벌 마스크","全局遮罩"
"_TruchetMaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","글로벌 마스크 블렌드 유형","混合"
"_TruchetMaskIntensity","Intensity","Intensidad","Intensität","強度","강도","强度"
"_TruchetEdgeSharpness","Edge Sharpness","Nitidez del borde","Randschärfe","エッジシャープネス","가장자리 선명도","边缘锐度"
"_TruchetOverrideAlpha","Override Alpha","Anular alfa","Überschreiben Alpha","アルファをオーバーライドします","알파 덮어쓰기","覆盖 Alpha"
"m_start_TruchetAudioLink","Audio Link ♫","AudioLink ♫","Audio -Link ♫","オーディオリンク♫","트루셰 오디오 링크","AudioLink ♫"
"_TruchetHideWhenNoAL","Hide When No AL","Ocultar cuando no haya AL","Sich verstecken"," wenn kein Al","Alがないときに隠す","无 AL 时隐藏"
"_TruchetALEmissionToggle","AL Emission","Emisión del AL","Al -Emission","AL発光","AL 방출 토글","AL 自发光"
"_TruchetALEmissionBand","Emission Band","Banda de emisión","Emissionsband","発光バンド","방출 밴드","自发光频段"
"_TruchetALEmission","Emission Add","Valor a añadir a la emisión","Emission hinzufügen","発光量追加","방출 추가","添加自发光"
"_TruchetALAlphaToggle","AL Alpha","Alfa del AL","Al Alpha","アルファルファ","AL 알파 토글","AL Alpha"
"_TruchetALAlphaBand","Alpha Band","Banda alfa","Alpha -Band","アルファバンド","알파 밴드","Alpha 频段"
"_TruchetALAlpha","Alpha Multiply","Multiplicador alfa","Alpha multiplizieren","アルファ増加","알파 곱하기","Alpha 乘法"
"_TruchetChronoPanToggle","Chrono Pan","Barrido","Chrono Pan","クロノパン","크로노 팬 토글","Chrono 平移"
"_TruchetChronoPanBand","Band","Banda","Band","バンド","크로노 팬 밴드","频段"
"_TruchetChronoPanType","Chrono Motion Type","Tipo de movimiento de cronotensidad","Chrono -Bewegungstyp","クロノモーションタイプ","크로노 팬 유형","Chrono 运动类型"
"_TruchetChronoPanSpeed","Pan Speed","Velocidad","Pan -Geschwindigkeit","パンスピード","크로노 팬 속도","平移速度"
"_AudioLinkSmoothingBass","Bass","Graves","Bass","ベース","베이스","低音"
"_AudioLinkSmoothingLowMid","Low Mid","Medios bajos","Niedrige Mitte","低いミッド","로우 미드","中低音"
"_AudioLinkSmoothingHighMid","High Mid","Medios altos","Hohe Mitte","ハイミッド","하이 미드","中高音"
"_AudioLinkSmoothingTreble","Treble","Agudos","Verdreifachen","トレブル","트레블","高音"
"m_start_audioLinkOverrides","Overrides","Anulación","Überschreiben","オーバーライド","오디오 링크 오버라이드","覆盖"
"s_start_AudioLinkBandOverrides","Band Overrides","Anulación de la banda","Band überschreibt","バンドオーバーライド","밴드 오버라이드","频段覆盖"
"_AudioLinkBandOverridesEnabled","Band Overrides","Anulación de la banda","Band überschreibt","バンドオーバーライド","밴드 오버라이드 활성화","频段覆盖"
"_AudioLinkBandOverrideSliders","Band Override Sliders","Deslizadores de anulación de la banda","Band überschreibt die Schieberegler","バンドオーバーライドスライダー","밴드 오버라이드 슬라이더","频段覆盖滑块"
"s_start_ALDecalVolumeOptions","Volume","Volumen","Volumen","音量","AL 데칼 볼륨 옵션","音量"
"s_start_ALDecalBandOptions","Band","Banda","Band","バンド","AL 데칼 밴드 옵션","频段"
"s_start_ALDecalShapeClipOptions","Shape Clip","Recorte de forma","Formclip","形状クリップ","AL 데칼 모양 클립 옵션","形状剪切"
"s_start_ALDecalAudioModsOptions","Audio Mods","Modos de audio","Audio -Mods","オーディオMOD","AL 데칼 오디오 모드 옵션","音频调节"
"s_start_ALDecalColorsBlendingOptions","Colors and Blending","Colores y mezcla","Farben und Mischen","色とブレンド","AL 데칼 색상 & 블렌딩 옵션","颜色 & 混合"
"_ALDecalGlobalMask","Global Mask","Máscara global","Globale Maske","グローバルマスク","글로벌 마스크","全局遮罩"
"_ALDecalGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","글로벌 마스크 블렌드 유형","混合"
"m_start_ALVolumeColor","AL ♫ Volume Color","Color del volumen (AL ♫)","Al ♫ Volumenfarbe","al♫ボリュームカラー","AL 볼륨 색상","AL ♫ 音量颜色"
"_EnableVolumeColor","Enable AL Volume Color","Activar el color del volumen","Aktivieren Sie Al Volumenfarbe","ALボリュームの色を有効にします","볼륨 색상 활성화","启用 AL 音量颜色"
"_ALVolumeColorUV","UV","UV","UV","UV","UV","UV"
"_ALVolumeColorDirection","UV Direction","Dirección UV","UV -Richtung","UV方向","UV 방향","UV 方向"
"_ALVolumeColorBlendType","Blend Type","Tipo de mezcla","Mischtyp","ブレンドタイプ","블렌드 유형","混合类型"
"_ALVolumeColorBlendAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_ALVolumeColorLow","Volume Color Low","Color del volumen bajo","Volumenfarbe niedrig","ボリュームカラーロー","낮은 볼륨 색상","低音量颜色"
"_ALLowEmission","Low Emission","Emisión del volumen bajo","Niedrige Emission","発光・低","낮은 방출","低自发光"
"_ALVolumeColorMid","Volume Color Mid","Color del volumen medio","Lautstärkefarbe Mitte","ボリュームカラーミッド","중간 볼륨 색상","中音量颜色"
"_ALMidEmission","Mid Emission","Emisión del volumen medio","Mittlere Emission","発光・中","중간 방출","中自发光"
"_ALVolumeColorHigh","Volume Color High","Color del volumen alto","Volumenfarbe hoch","ボリュームカラーハイ","높은 볼륨 색상","高音量颜色"
"_ALHighEmission","High Emission","Emisión del volumen alto","Hohe Emission","高い発光・高","높은 방출","高自发光"
"m_vertexCategory","Vertex Options","Opciones de los vértices","Scheitelpunktoptionen","頂点オプション","버텍스 옵션","顶点选项"
"_VertexBasicsMask","RGBA Effects Mask [Click to Expand]","Máscara de efectos RGBA [Click para expandir]","RGBA -Effektmaske ]","RGBAエフェクトマスク]","기본 마스크","基础遮罩 (RGBA 效果)"
"_VertexBasicsMaskUVPan","Panning","Barrido","Bewegung","パン","패닝","平移"
"VertexBasicsMaskUV","UV","UV","UV","UV","UV","UV"
"_VertexBasicsMaskChannel","Basics Mask Channel","Canal de la máscara básica","Basics Mask -Kanal","基本マスクチャネル","기본 마스크 채널","基础遮罩通道"
"s_start_VertexManipulationHeight","Height Map","Mapa de altura","HöhenTextur","高さマップ","버텍스 조작 높이","高度图"
"_VertexManipulationHeightMapChannel","Map Channel","Canal del mapa","Texturenkanal","マップチャネル","높이 맵 채널","贴图通道"
"s_start_vertexRounding","Vertex Rounding (Blocky/PS1)","Redondeo de vértices (Baja resolución poligonal/PS1)","Scheitelpunktrundung (Blocky/PS1)","頂点の丸め（blocky/ps1）","버텍스 라운딩 (PS1 스타일)","顶点圆角 (Blocky/PS1)"
"_VertexRoundingMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道"
"s_start_VertexBarrelMode","Barrel Distortion","Distorsión de barril","Fassverzerrung","バレルの歪み","버텍스 배럴 모드","桶形失真"
"_VertexBarrelMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道"
"s_start_VertexSphereMode","Sphere Distortion","Distorsión esférica","Kugelverzerrung","球体の歪み","버텍스 구체 모드","球形失真"
"_VertexSphereMode","<size=13><b>  Sphere Mode</b></size>","<size=13><b>Modo esférico </b></size>","<size=13><b>Sphere -Modus </b></size>","<サイズ= 13> <b>球体モード</b></size>","구체 모드","<size=13><b>球形模式</b></size>"
"_VertexSphereMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道"
"_VertexSphereRadius","Sphere Radius","Radio esférico","Kugelradius","球体半径","반경","球体半径"
"_VertexSphereHeight","Sphere Height","Altura esférica","Kugelhöhe","球の高さ","높이","球体高度"
"_VertexSphereAlpha","Sphere Alpha","Alfa esférico","Kugel Alpha","球体アルファ","알파","球体 Alpha"
"_VertexSphereCenter","Sphere Center","Centro esférico","Sphere Center","球体センター","중심","球体中心"
"s_start_VertexTornadoMode","Tornado","Tornado","Tornado","竜巻","버텍스 토네이도 모드","旋转"
"_VertexTornadoMode","<size=13><b>  Tornado</b></size>","<size=13><b>Tornado </b></size>","<size=13><b>Tornado </b></size>","<サイズ= 13> <b>竜巻</b></size>","토네이도 모드","<size=13><b>旋转</b></size>"
"_VertexTornadoMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道"
"_VertexTornadoRadius","Radius","Radio","Radius","半径","반경","半径"
"_VertexTornadoVerticalPull","Vertical Pull","Tirón vertical","Vertikaler Zug","垂直プル","수직 당김","垂直拉力"
"_VertexTornadoFunnelShape","Funnel Shape","Forma del embudo","Trichterform","漏斗の形","깔때기 모양","漏斗形状"
"_VertexTornadoIntensity","Spiral Intensity","Intensidad espiral","Spiralintensität","らせん強度","나선 강도","螺旋强度"
"_VertexTornadoSpeed","Rotation Speed","Velocidad de rotación","Rotationsgeschwindigkeit","回転速度","회전 속도","旋转速度"
"_VertexTornadoTopHeight","Top Height","Altura superior","Obere Höhe","上部の高さ","상단 높이","顶部高度"
"_VertexTornadoBaseHeight","Bottom Height","Altura inferior","Bodenhöhe","底の高さ","하단 높이","底部高度"
"s_start_VertexWind","Wind / Flag","Viento (Tipo bandera)","Wind / Flagge","風 /旗","버텍스 바람 (깃발)","风 / 旗帜"
"_VertexWindEnabled","Enabled","Activado","Ermöglicht","有効になっています","바람 활성화","启用"
"_VertexWindMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道"
"_VertexWindPrimaryDirection","Direction","Dirección","Richtung","方向","주 방향","方向"
"_VertexWindPrimaryAmplitude","Amplitude","Amplitud","Amplitude","振幅","주 진폭","振幅"
"_VertexWindPrimarySpeed","Speed","Velocidad","Geschwindigkeit","スピード","주 속도","速度"
"_VertexWindPrimaryFrequency","Frequency","Frecuencia","Frequenz","頻度","주 빈도","频率"
"_VertexWindDetailDirection","Direction","Dirección","Richtung","方向","디테일 방향","方向"
"_VertexWindDetailAmplitude","Amplitude","Amplitud","Amplitude","振幅","디테일 진폭","振幅"
"_VertexWindDetailSpeed","Speed","Velocidad","Geschwindigkeit","スピード","디테일 속도","速度"
"_VertexWindDetailFrequency","Frequency","Frecuencia","Frequenz","頻度","디테일 빈도","频率"
"_VertexWindNoiseChannel","Noise Channel (from Basics Mask)","Canal del ruido (de la máscara básica)","Rauschkanal (von Grundlagenmaske)","ノイズチャネル（基本マスクから）","노이즈 채널","噪声通道 (来自基础遮罩)"
"_VertexWindNoiseStrength","Noise Strength","Resistencia al ruido","Geräuschstärke","ノイズ強度","노이즈 강도","噪声强度"
"_VertexWindNoiseScale","Noise Scale","Escala del ruido","Geräuschskala","ノイズスケール","노이즈 스케일","噪声缩放"
"_VertexWindNoiseSpeed","Noise Speed","Velocidad del ruido","Geräuschgeschwindigkeit","ノイズ速度","노이즈 속도","噪声速度"
"s_start_VertAL","Audio Link","AudioLink","Audio -Link","オーディオリンク","버텍스 오디오 링크","AudioLink"
"s_start_LocalTranslation","Local Translation","Traslación local","Lokale Übersetzung","ローカル翻訳","로컬 이동","本地位移"
"s_start_LocalRotation","Local Rotation","Rotación local","Lokale Rotation","ローカル回転","로컬 회전","本地旋转"
"s_start_ContinuousRotation","Continuous Rotation","Rotación continua","Kontinuierliche Rotation","連続回転","연속 회전","连续旋转"
"s_start_VertexScale","Vertex Scale","Escala de los vértices","Scheitelpunktskala","頂点スケール","버텍스 스케일","顶点缩放"
"s_start_WorldTranslation","World Translation","Traslación global","Weltübersetzung","ワールド変位","월드 이동","世界位移"
"s_start_ALVertexHeight","Vertex Height","Altura de los vértices","Scheitelpunkthöhe","頂点の高さ","버텍스 높이","顶点高度"
"s_start_vertexRoundingAL","Vertex Rounding","Redondeo de vértices","Scheitelpunktrundung","頂点の丸め","버텍스 라운딩","顶点圆角"
"s_start_ALSpectrumMotion","Spectrum Motion","Movimiento del espectro","Spektrumbewegung","スペクトルモーション","스펙트럼 모션","频谱运动"
"_VertexSpectrumMotion","Spectrum Motion","Movimiento del espectro","Spektrumbewegung","スペクトルモーション","스펙트럼 모션","频谱运动"
"_VertexSpectrumUV","UV","UV","UV","UV","UV","UV"
"_VertexSpectrumUVDirection","UV Direction","Dirección UV","UV -Richtung","UV方向","UV 방향","UV 方向"
"_VertexSpectrumOffsetMin","Offset Min","Desplazamiento mínimo","Offset min","オフセット分","최소 오프셋","最小偏移"
"_VertexSpectrumOffsetMax","Offset Max","Desplazamiento máximo","Offset max","最大オフセット","최대 오프셋","最大偏移"
"m_start_vertexLookAt","LookAt","Orientación","LookAt","LookAt","버텍스 쳐다보기 (LookAt)","顶点注视 (LookAt)"
"_VertexLookAtEnabled","Enabled","Activado","Ermöglicht","有効になっています","LookAt 활성화","启用"
"_LookAtMask","Look-At Mask","Máscara de orientación","Look-AT-Maske","見た目のマスク","마스크","注视遮罩"
"_LookAtMaskPan","Outline Texture Pan","Barrido de la textura","Umrissen der Texturpfanne","テクスチャパンの輪郭","패닝","纹理平移"
"_LookAtMaskUV","UV","UV","UV","UV","UV","UV"
"s_start_LookAtRedMask","Controls (Red Mask)","Controles (máscara roja/R)","Steuerelemente (rote Maske)","コントロール（赤いマスク）","LookAt 빨강 마스크 설정","控制 (红遮罩)"
"_LookAtRedMaskEnabled","Red Mask Enabled","Máscara roja activada","Rotmaske aktiviert","赤いマスクが有効になっています","빨강 마스크 활성화","启用红遮罩"
"_LookAtRedAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_LookAtRedTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向"
"_LookAtRedForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向"
"_LookAtRedUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向"
"_LookAtRedPivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置"
"_LookAtRedOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置"
"_LookAtRedDistanceFalloff","Distance Falloff","Atenuación por distancia","Distanzfunktion","距離フォールオフ","거리 감쇠","距离衰减"
"_LookAtRedFoV","FoV Falloff","Atenuación por ángulo de visión","FOV FALLOFF","FOVフォールオフ","FOV 감쇠","FOV 衰减"
"_LookAtRedMaxPitchAngle","Max Pitch (X)","Cabeceo máximo (Pitch en x)","Max Pitch (x)","マックスピッチ（x）","최대 피치 각도","最大俯仰 (X)"
"_LookAtRedMaxYawAngle","Max Yaw (Y)","Guiñada máxima (Yaw en y)","Max Gier (y)","マックスヨー（Y）","최대 요 각도","最大偏航 (Y)"
"_LookAtRedMaxRollAngle","Max Roll (Z)","Balanceo máximo (Roll en z)","Max Roll (Z)","マックスロール（Z）","최대 롤 각도","最大翻滚 (Z)"
"s_start_LookAtVisibility","Visibility","Visibilidad","Sichtweite","可視性","LookAt 가시성","可见性"
"_LookAtVisibilityEnabled","LookAt Visibility Enabled","Visibilidad activada","Die Sichtbarkeit von Lookat aktiviert","視認性を有効にします","가시성 활성화","启用可见性"
"_LookAtVisibilityMode","Mode","Modo","Modus","モード","모드","模式"
"_LookAtVisibilityMirror","Mirror Visibility","Visibilidad en espejo","Spiegelssicht","ミラーの可視性","거울","镜像可见性"
"_LookAtVisibilityVRCRegular","Normal (Outside Mirror/Camera)","Normal (Espejo exterior/Cámara)","Normal (Außenspiegel/Kamera)","通常（ミラー/カメラの外）","일반 (외부 거울/카메라)","正常 (外部镜像/摄像机)"
"_LookAtVisibilityVRCMirrorVR","Mirror (VR)","Espejo (Modo VR)","Spiegel (VR)","ミラー（VR）","거울 (VR)","镜像 (VR)"
"_LookAtVisibilityVRCMirrorDesktop","Mirror (Desktop)","Espejo (Modo escritorio)","Spiegel (Desktop)","ミラー（デスクトップ）","거울 (데스크톱)","镜像 (桌面)"
"_LookAtVisibilityVRCCameraVR","Camera (VR)","Cámara (Modo VR)","Kamera (VR)","カメラ（VR）","카메라 (VR)","摄像机 (VR)"
"_LookAtVisibilityVRCCameraDesktop","Camera (Desktop)","Cámara (Modo escritorio)","Kamera (Desktop)","カメラ（デスクトップ）","카메라 (데스크톱)","摄像机 (桌面)"
"_LookAtVisibilityVRCCameraScreenshot","Screenshot","Captura de pantalla","Screenshot","スクリーンショット","스크린샷","截屏"
"s_start_LookAtGreenMask","Controls (Green Mask)","Controles (máscara verde/G)","Kontrollen (grüne Maske)","コントロール（グリーンマスク）","LookAt 초록 마스크 설정","控制 (绿遮罩)"
"_LookAtGreenMaskEnabled","Green Mask Enabled","Máscara roja activada","Grüne Maske aktiviert","グリーンマスクが有効になっています","초록 마스크 활성화","启用绿遮罩"
"_LookAtGreenAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_LookAtGreenTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向"
"_LookAtGreenForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向"
"_LookAtGreenUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向"
"_LookAtGreenPivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置"
"_LookAtGreenOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置"
"_LookAtGreenDistanceFalloff","Distance Falloff","Atenuación por distancia","Distanzfunktion","距離フォールオフ","거리 감쇠","距离衰减"
"_LookAtGreenFoV","FoV Falloff","Atenuación por ángulo de visión","FOV FALLOFF","FOVフォールオフ","FOV 감쇠","FOV 衰减"
"_LookAtGreenMaxPitchAngle","Max Pitch (X)","Cabeceo máximo (Pitch en x)","Max Pitch (x)","マックスピッチ（x）","최대 피치 각도","最大俯仰 (X)"
"_LookAtGreenMaxYawAngle","Max Yaw (Y)","Guiñada máxima (Yaw en y)","Max Gier (y)","マックスヨー（Y）","최대 요 각도","最大偏航 (Y)"
"_LookAtGreenMaxRollAngle","Max Roll (Z)","Balanceo máximo (Roll en z)","Max Roll (Z)","マックスロール（Z）","최대 롤 각도","最大翻滚 (Z)"
"s_start_LookAtBlueMask","Controls (Blue Mask)","Controles (máscara azul/B)","Steuerelemente (blaue Maske)","コントロール（青いマスク）","LookAt 파랑 마스크 설정","控制 (蓝遮罩)"
"_LookAtBlueMaskEnabled","Blue Mask Enabled","Máscara roja activada","Blaue Maske aktiviert","青いマスクが有効になっています","파랑 마스크 활성화","启用蓝遮罩"
"_LookAtBlueAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_LookAtBlueTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向"
"_LookAtBlueForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向"
"_LookAtBlueUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向"
"_LookAtBluePivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置"
"_LookAtBlueOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置"
"_LookAtBlueDistanceFalloff","Distance Falloff","Atenuación por distancia","Distanzfunktion","距離フォールオフ","거리 감쇠","距离衰减"
"_LookAtBlueFoV","FoV Falloff","Atenuación por ángulo de visión","FOV FALLOFF","FOVフォールオフ","FOV 감쇠","FOV 衰减"
"_LookAtBlueMaxPitchAngle","Max Pitch (X)","Cabeceo máximo (Pitch en x)","Max Pitch (x)","マックスピッチ（x）","최대 피치 각도","最大俯仰 (X)"
"_LookAtBlueMaxYawAngle","Max Yaw (Y)","Guiñada máxima (Yaw en y)","Max Gier (y)","マックスヨー（Y）","최대 요 각도","最大偏航 (Y)"
"_LookAtBlueMaxRollAngle","Max Roll (Z)","Balanceo máximo (Roll en z)","Max Roll (Z)","マックスロール（Z）","최대 롤 각도","最大翻滚 (Z)"
"s_start_LookAtAlphaMask","Controls (Alpha Mask)","Controles (máscara alfa A)","Kontrollen (Alpha -Maske)","コントロール（アルファマスク）","LookAt 알파 마스크 설정","控制 (Alpha 遮罩)"
"_LookAtAlphaMaskEnabled","Alpha Mask Enabled","Máscara roja activada","Alpha -Maske aktiviert","アルファマスクが有効になっています","알파 마스크 활성화","启用 Alpha 遮罩"
"_LookAtAlphaAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_LookAtAlphaTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向"
"_LookAtAlphaForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向"
"_LookAtAlphaUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向"
"_LookAtAlphaPivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置"
"_LookAtAlphaOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置"
"_LookAtAlphaDistanceFalloff","Distance Falloff","Atenuación por distancia","Distanzfunktion","距離フォールオフ","거리 감쇠","距离衰减"
"_LookAtAlphaFoV","FoV Falloff","Atenuación por ángulo de visión","FOV FALLOFF","FOVフォールオフ","FOV 감쇠","FOV 衰减"
"_LookAtAlphaMaxPitchAngle","Max Pitch (X)","Cabeceo máximo (Pitch en x)","Max Pitch (x)","マックスピッチ（x）","최대 피치 각도","最大俯仰 (X)"
"_LookAtAlphaMaxYawAngle","Max Yaw (Y)","Guiñada máxima (Yaw en y)","Max Gier (y)","マックスヨー（Y）","최대 요 각도","最大偏航 (Y)"
"_LookAtAlphaMaxRollAngle","Max Roll (Z)","Balanceo máximo (Roll en z)","Max Roll (Z)","マックスロール（Z）","최대 롤 각도","最大翻滚 (Z)"
"s_start_ALVertexLookAtAL","Audio Link","AudioLink","Audio -Link","オーディオリンク","버텍스 LookAt 오디오 링크","AudioLink"
"_VertexLookAtAudioLinkEnabled","Audio Link","AudioLink","Audio -Link","オーディオリンク","오디오 링크 활성화","AudioLink"
"_VertexLookAtAudioLinkBand","Alpha Band","Banda alfa","Alpha -Band","アルファバンド","알파 밴드","Alpha 频段"
"_VertexLookAtAlphaAudiolink","Alpha Audiolink","Alfa del AudioLink","Alpha Audiolink","アルファ・オーディオリンク","알파 오디오 링크","Alpha AudioLink"
"s_start_VertexGlitchTexture","Glitch Texture","Textura de fallos (Glitch)","Struktur Textur","グリッチテクスチャ","버텍스 글리치 텍스처","故障纹理"
"s_start_VertexGlitchMirror","Mirror","Espejo","Spiegel","鏡","버텍스 글리치 거울","镜像"
"s_start_ALVertexGlitching","Audio Link","AudioLink","Audio -Link","オーディオリンク","버텍스 글리치 오디오 링크","AudioLink"
"m_start_Uzumore","View Clip Prevention (Uzumore)","Empuje de cámara en caso de recorte (Uzumore)","Clip Prevention anzeigen (Uzumore)","クリップ予防（埋もれ）を表示","Uzumore (클리핑 방지)","显示防穿模 (Uzumore)"
"_UzumoreCategoryToggle"," View Clip Prevention (Uzumore)","Empuje de cámara en caso de recorte (Uzumore)","Clip Prevention anzeigen (Uzumore)","クリップ予防（埋もれ）を表示","Uzumore 표시","显示防穿模 (Uzumore)"
"_UzumoreEnabled","Animation Toggle","Activar animación","Animationsschaltung","アニメーショントグル","애니메이션 토글","动画切换"
"_UzumoreAmount","Push Amount (m)","Cantidad de empuje (en metros)","Push -Betrag (m)","埋もれ量（m）","푸시 양 (m)","推挤量 (m)"
"_UzumoreBias","Push Bias","Sesgo del empuje","Voreingenommenheit","埋もれバイアス","푸시 바이어스","偏移"
"_UzumoreMask","Push Mask (A)","Máscara del empuje (Canal Alfa)","Push -Maske (a) Push","埋もれマスク（a）","푸시 마스크","推挤遮罩 (A)"
"_UzumoreMaskUV","Push Mask Channel","Canal de la máscara del empuje","Maskenkanal drücken","マスクチャネルの利用","마스크 UV 채널","推挤遮罩通道"
"m_start_PoiGlobalCategory","Global Data and Masks","Datos y máscaras globales","Globale Daten und Masken","グローバルデータとマスク","글로벌 데이터 및 마스크","全局数据与遮罩"
"m_start_GlobalMaskVertexColors","Vertex Colors","Colores de los vértices","Scheitelpunktfarben","頂点の色","글로벌 마스크 버텍스 컬러","顶点颜色"
"_GlobalMaskVertexColorLinearSpace","Linear Colors","Colores lineales","Linear Farben","線形色","선형 색상","线性空间颜色"
"_GlobalMaskVertexColorRed","Red","Rojo","Rot","赤","빨강","红"
"_GlobalMaskVertexColorRedBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","블렌드 유형","混合"
"_GlobalMaskVertexColorGreen","Green","Verde","Grün","緑","초록","绿"
"_GlobalMaskVertexColorGreenBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","블렌드 유형","混合"
"_GlobalMaskVertexColorBlue","Blue","Azul","Blau","青","파랑","蓝"
"_GlobalMaskVertexColorBlueBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","블렌드 유형","混合"
"_GlobalMaskVertexColorAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_GlobalMaskVertexColorAlphaBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","블렌드 유형","混合"
"s_start_GlobalMaskOptionsSliders","Options","Opción","Optionen","オプション","글로벌 마스크 옵션 슬라이더","选项"
"s_start_GlobalMaskOptionsMinMaxSliders","Options","Opción","Optionen","オプション","글로벌 마스크 옵션 최소/최대 슬라이더","选项"
"s_start_GlobalMaskOptionsForceToggles","Options","Opción","Optionen","オプション","글로벌 마스크 옵션 강제 토글","选项"
"m_start_PoiUVCategory","UVs","UVs","UVS","UVS","UV 카테고리","UVs"
"s_start_deliot","Deliot Heitz","Deliot Heitz","Deliot Heitz","デリオット・ハイツ","Deliot Heitz","Deliot Heitz"
"s_start_hextile","Hextile","Teselas hexagonales (Hextil)","hextile","hextile","Hextile","Hextile"
"m_start_uvLocalWorld","Local World UV","UV (Global/Local)","Lokale Welt UV","ローカル・ワールドUV","UV (로컬/월드)","本地/世界 UV"
"_UVModLocalPos0","Local X","X local","Lokale x","ローカルX","로컬 X","本地 X"
"_UVModLocalPos1","Local Y","Y local","Lokal und","ローカルY","로컬 Y","本地 Y"
"_UVModWorldPos0","World X","X global","Welt x","ワールドX","월드 X","世界 X"
"_UVModWorldPos1","World Y","Y global","Welt und","ワールドY","월드 Y","世界 Y"
"_HeightOffset","Offset","Compensar","Offset","オフセット","높이 오프셋","高度偏移"
"_ParallaxMipBias","Mip Bias","Sesgo de MIP","MIP -Voreingenommenheit","MIPバイアス","Parallax Mip 바이어스","Mip 偏移"
"s_start_parallaxAdvanced","Advanced","Avanzado","Fortschrittlich","高度な","Parallax 고급 설정","高级"
"_ParallaxBinarySteps","Binary Search Steps","Pasos binarios de búsqueda","Binäre Suchschritte","バイナリ検索手順","이진 검색 단계","二分查找步数"
